ID,Authors,第 3 列,第 4 列,第 5 列,第 6 列
119,"Bui Nam, Pham Nhat, Barnitz Jessica Jacqueline, Zou Zhanan, Nguyen Phuc, Truong Hoang, Kim Taeho, Farrow Nicholas, Nguyen Anh, Xiao Jianliang, Deterding Robin, Dinh Thang, Vu Tam",,,,
120,"Röddiger Tobias, Beigl Michael, Hefenbrock Michael, Wolffram Daniel, Pescara Erik",,,,
121,"E. Nemati, S. Zhang, T. Ahmed, M. M. Rahman, J. Kuang, A. Gao",,,,
122,"S. Zhang, E. Nemati, T. Ahmed, M. M. Rahman, J. Kuang, A. Gao",,,,
123,"N. Nguyen, A. Chakma, N. Roy",,,,
124,"A. Boukhayma, A. Barison, S. Haddad, A. Caizzone",,,,
125,"S. -j. Jung, J. Ryu, W. Kim, S. Lee, J. Kim, H. Park, T. Jang, H. Jeong, J. Kim, J. Park, R. Kim, J. Park, H. Jo, W. J. Kim, J. Yang, B. Sohn, Y. Han, I. Lim, S. Yoo, C. Park, D. -g. Jang, B. -H. Ko, J. Lim, J. Kim, K. Lee, J. Lee, Y. Park, L. Yan",,,,
126,"J. Meneses, O. Miranda, I. Sanchez, C. Álvarez, P. Rodriguez",,,,
127,"J. Juez, D. Henao, F. Segura, R. Gómez, M. Le Van Quyen, M. Valderrama",,,,
128,"K. -J. Kim, K. -T. Lim, J. w. Baek, M. Shin",,,,
129,"Y. Ren, Z. Zheng, H. Liu, Y. Chen, H. Li, C. Wang",,,,
130,"Truong Hoang, Montanari Alessandro, Kawsar Fahim",,,,
131,"Rigi Amin, Mugisha Andrew J., Arefian Ahmed, Khan Sadeque Reza, Mitra Srinjoy",,,,
132,"Mikkelsen Kaare B., Tabar Yousef R., Toft Hans O., Hemmsen Martin C., Rank Mike L., Kidmose Preben",,,,
133,"Lamichhane Bishal, Nemati Ebrahim, Ahmed Tousif, Rahman Mahbubur, Kuang Jilong, Gao Alex",,,,
134,"Tseng Kueihao, Lin ChihLung, Wang Kaihung, Chang Harrison",,,,
135,"Schilk Philipp, Dheman Kanika, Magno Michele",,,,
136,"Rahman Md Mahbubur, Xu Xuhai, Nathan Viswam, Ahmed Tousif, Ahmed Mohsin Yusuf, McCaffrey Dan, Kuang Jilong, Cowell Trevor, Moore Julia, Mendes Wendy Berry, Gao Jun Alex",,,,
137,"Rahman Md Mahbubur, Ahmed Tousif, Ahmed Mohsin Yusuf, Dinh Minh, Nemati Ebrahim, Kuang Jilong, Gao Jun Alex",,,,
138,"Sheeraz Muhammad, Aslam Abdul Rehman, Altaf Muhammad Awais Bin",,,,
139,"Balaji Ananta Narayanan, Ferlini Andrea, Kawsar Fahim, Montanari Alessandro",,,,
140,"Sheeraz Muhammad, Saadeh Wala, Altaf Muhammad Awais Bin",,,,
141,"Pham Nhat, Dinh Tuan, Kim Taeho, Raghebi Zohreh, Bui Nam, Truong Hoang, Nguyen Tuan, Banaei-Kashani Farnoush, Halbower Ann, Dinh Thang, Nguyen Phuc, Vu Tam",,,,
142,"Nguyen Ha-Trung, Mai Ngoc-Dau, Lee Boon Giin, Chung Wan-Young",,,,
143,"Fan Xiaoran, Pearl David, Howard Richard, Shangguan Longfei, Thormundsson Trausti",,,,
144,"Sun Xue, Xiong Jie, Feng Chao, Deng Wenwen, Wei Xudong, Fang Dingyi, Chen Xiaojiang",,,,
145,"Schroeder Mark J., Olson Kyle D., O’Brien Parker, Lin Andy S.",,,,
146,"Chan Justin, Glenn Antonio, Itani Malek, Mancl Lisa R., Gallagher Emily, Bly Randall, Patel Shwetak, Gollakota Shyamnath",,,,
147,"Jin Yincheng, Rahman Md Mahbubur, Ahmed Tousif, Kuang Jilong, Gao Alex Jun",,,,
148,"Ahmed Tousif, Rahman Md Mahbubur, Nemati Ebrahim, Ahmed Mohsin Yusuf, Kuang Jilong, Gao Alex Jun",,,,
149,"Hammour Ghena, Atzori Giuseppe, Monica Ciro Della, Ravindran Kiran K G, Revell Victoria, Dijk Derk-Jan, Mandic Danilo P.",,,,
150,"Benesch Danielle, Chabot Philippe, Tom Ajin, Voix Jérémie, Bouserhal Rachel E.",,,,
151,"Niitsu Kiichi, Fukushima Koki, Hiraoka Yuichi, Urawa Hidenori, Ozawa Yutaka, Osaki Yuya, Kaneko Masaya, Nakamura Jin, Yoshikawa Hideo",,,,
152,"Zhao Zhiyuan, Li Fan, Xie Yadong, Xie Huanran, Zhang Kerui, Zhang Li, Wang Yu",,,,
153,"Roshan Saboora M., Park Edward J.",,,,
154,"Chen Tao, Yang Yongjie, Fan Xiaoran, Guo Xiuzhen, Xiong Jie, Shangguan Longfei",,,,
155,"Aziz Abdul, Pham Nhat, Vora Neel, Reynolds Cody, Lehnen Jaime, Venkatesh Pooja, Yao Zhuoran, Harvey Jay, Vu Tam, Ding Kan, Nguyen Phuc",,,,
156,"Chan Justin, Glenn Antonio, Itani Malek, Mancl Lisa R., Gallagher Emily R.",,,,
157,"Romero Julia, Ferlini Andrea, Spathis Dimitris, Dang Ting, Farrahi Katayoun, Kawsar Fahim, Montanari Alessandro",,,,
158,"Lin David J., Rahman Md Mahbubur, Zhu Li, Nathan Viswam, Bae Jungmok, Rosa Christina, Mendes Wendy B., Kuang Jilong, Gao Alex J.",,,,
159,"Mai Ngoc-Dau, Nando Yudi April, Chung Wan-Young",,,,
160,"Gullapalli Bhanu Teja, Nathan Viswam, Rahman Md Mahbubur, Kuang Jilong, Gao Jun Alex",,,,
161,"L. Zhu, M. Bin Morshed, J. -O. Hahn, M. M. Rahman, S. Desai",,,,
162,"N. -D. Mai, W. -Y. Chung",,,,
163,"N. -D. Mai, Y. April Nando, W. -Y. Chung",,,,
164,"L. Zhang, M. M. Rahman, M. Bin Morshed, L. Zhu, H. Zhou, J. O’Bryan, W. B. Mendes, J. Kuang",,,,
165,"R. Kusche, D. Dichte, J. C. H. Gomez, T. Thölen",,,,
166,"C. Santos, S. Frey, A. Cossettini, L. Benini, V. Kartsch",,,,
167,"M. Kim, E. Oh, Y. Kim, S. Kim, D. Park, J. -H. Kim, S. Kim, H. Ahn, C. -H. Im",,,,
168,"M. M. Rahman, M. B. Morshed, N. Rashid, S. Chandrashekhara, J. Kuang",,,,
