ID,Title,Main Author,Authors,Year,Study Link,Abstract,Health Category,Health Indicator,Sensor Position,Sensor Type,Physiological Signal,Advantage
119,eBP: an ear-worn device for frequent and comfortable blood pressure monitoring,"Bui, Nam et al.","Bui, Nam and Pham, Nhat and Barnitz, Jessica Jacqueline and Zou, Zhanan and Nguyen, Phuc and Truong, Hoang and Kim, Taeho and Farrow, Nicholas and Nguyen, Anh and Xiao, Jianliang and Deterding, Robin and Dinh, Thang and Vu, Tam",2021,https://doi.org/10.1145/3470446,"Frequent blood pressure monitoring is the key to diagnosis and treatments of many severe diseases. However, the conventional ambulatory methods require patients to carry a blood pressure (BP) monitoring device for 24 h and conduct the measurement every 10--15 min. Despite their extensive usage, wearing the wrist/arm-based BP monitoring device for a long time has a significant impact on users' daily activities. To address the problem, we developed eBP to measure blood pressure (BP) from inside user's ear aiming to minimize the measurement's impact on users' normal activities although maximizing its comfort level. The key novelty of eBP includes (1) a light-based inflatable pulse sensor which goes inside the ear, (2) a digital air pump with a fine controller, and (3) BP estimation algorithms that eliminate the need of blocking the blood flow inside the ear. Through the comparative study of 35 subjects, eBP can achieve the average error of 1.8 mmHg for systolic (high-pressure value) and -3.1 mmHg for diastolic (low-pressure value) with the standard deviation error of 7.2 mmHg and 7.9 mmHg, respectively. These results satisfy the FDA's AAMI standard, which requires a mean error of less than 5 mmHg and a standard deviation of less than 8 mmHg.",Cardio-Respiratory System,Blood Pressure,Ear Canal,Photo,Photoplethysmography (PPG),"Non-invasive, Long Time Wearability"
120,Detecting Episodes of Increased Cough Using Kinetic Earables,"R\""{o}ddiger, Tobias et al.","R\""{o}ddiger, Tobias and Beigl, Michael and Hefenbrock, Michael and Wolffram, Daniel and Pescara, Erik",2021,https://doi.org/10.1145/3458709.3458943,"This paper introduces the detection of episodes of increased cough (e.g. during illness) based on cough event classification using kinetic earables. In a twelve subject study, we collected voluntary weak and strong cough as well as five non-cough activities (e.g., talking) under various conditions (e.g., walking). During the activities, an in-ear worn sensor records acceleration and gyroscope data. In total, we collected 4,200 activity samples. A single step classification pipeline (0.77 overall accuracy) serves as the foundation for statistical analysis to achieve episodes of increased cough discrimination. As a digression, we reverse data and perform pose classification which could enable faster cough episode prediction. All-in-all, earables might help to objectify illness to encourage formal diagnosis.",Health Tracking,Cough,Ear Canal,Mechanical,IMU Signals,"Non-nvasive, Long Time Wearability, High Accuracy"
121,CoughBuddy: Multi-Modal Cough Event Detection Using Earbuds Platform,E. Nemati et al.,E. Nemati; S. Zhang; T. Ahmed; M. M. Rahman; J. Kuang; A. Gao,2021,https://ieeexplore.ieee.org/document/9507017/,"There has been an extensive amount of study on cough detection using acoustic features captured from smartphones and smartwatches in the past decade. However, the specificity of the algorithms has always been a concern when exposed to the unseen field data containing cough-like sounds. In this paper, we propose a novel sensor fusion algorithm that employs a hybrid of classification and template matching algorithms to tackle the problem of unseen classes. The algorithm utilizes in-ear audio signal as well as head motion captured by the inertial measurement unit (IMU). A clinical study including 45 subjects from healthy and chronic cough cohorts was conducted that contained various tasks including cough and cough-like body sounds in various conditions such as quiet/noisy and stationary/non-stationary. Our hybrid model was evaluated for sensitivity and specificity in these conditions using leave one-subject out validation (LOSOV) and achieved an average sensitivity of 83% for stationary tasks and an specificity of 91.7% for cough-like sounds reducing the false positive rate by 55%. These results indicate the feasibility and superiority of fusion in earbuds platforms for detection of cough events.",Health Tracking,Cough,Ear Canal,"Acoustic, Mechanical",IMU Signals,High Accuracy
122,A Novel Multi-Centroid Template Matching Algorithm and Its Application to Cough Detection,S. Zhang et al.,S. Zhang; E. Nemati; T. Ahmed; M. M. Rahman; J. Kuang; A. Gao,2021,https://ieeexplore.ieee.org/document/9629993,"Cough is a major symptom of respiratory-related diseases. There exists a tremendous amount of work in detecting coughs from audio but there has been no effort to identify coughs from solely inertial measurement unit (IMU). Coughing causes motion across the whole body and especially on the neck and head. Therefore, head motion data during coughing captured by a head-worn IMU sensor could be leveraged to detect coughs using a template matching algorithm. In time series template matching problems, K-Nearest Neighbors (KNN) combined with elastic distance measurement (esp. Dynamic Time Warping (DTW)) achieves outstanding performance. However, it is often regarded as prohibitively time-consuming. Nearest Centroid Classifier is thereafter proposed. But the accuracy is comprised of only one centroid obtained for each class. Centroid-based Classifier performs clustering and averaging for each cluster, but requires manually setting the number of clusters. We propose a novel self-tuning multi-centroid template-matching algorithm, which can automatically adjust the number of clusters to balance accuracy and inference time. Through experiments conducted on synthetic datasets and a real-world earbud-based cough dataset, we demonstrate the superiority of our proposed algorithm and present the result of cough detection with a single accelerometer sensor on the earbuds platform.Clinical relevance— Coughing is a ubiquitous symptom of pulmonary disease, especially for patients with COPD and asthma. This work explores the possibility and and presents the result of cough detection using an IMU sensor embedded in earables.",Health Tracking,Cough,Ear Canal,Mechanical,IMU Signals,IMU Signals
123,A Scalable and Domain Adaptive Respiratory Symptoms Detection Framework using Earables,N. Nguyen et al.,N. Nguyen; A. Chakma; N. Roy,2021,https://ieeexplore.ieee.org/abstract/document/9671796?casa_token=XClb-eiRknUAAAAA:xdRVPNYsR2Da0VoQcR3yXn3L1xvmUU6-rCYI-xw0SUDFb9PXVSK-BiuQYB6GCp_ctXXdPfHF9w,"The COVID-19 pandemic has brought a devastating impact on human health across the globe, and people are still observing face-masking as a preventive measure to contain the spread of COVID-19. Coughing is one of the major transmission mediums of COVID-19, and early cough detection could play a significant r ole i n p reventing t he s pread o f t his life-threatening virus. Many approaches have been proposed for developing systems to detect coughing and other respiratory symptoms in literature, but earable devices are not well-studied and investigated for respiratory symptom detection. In this work, we posited an acoustic research prototype (earable device) - eSense that has acoustic and IMU sensors embedded into user-convenient earbuds to address the following issues: (i) feasibility of the earables in detecting respiratory symptoms, and (ii) scalability of trained machine learning models in the presence of unseen data samples. We performed experimentation with both shallow and deep learning models on the eSense collected data samples. We observed that the deep learning model outperforms the shallow learning models achieving 97% accuracy. Furthermore, we investigated the scalability of the deep learning model on unseen datasets and noticed that the performance of the deep learning model deteriorates when trained on a particular dataset and tested on an unseen dataset. To mitigate such challenges, we postulated an adversarial domain adaptation technique that helps improve the performance of our respiratory symptoms detection framework by a substantial margin.",Health Tracking,Cough,Ear Canal,"Mechanical, Acoustic","IMU Signals, Audio / Acoustic signal","High Accuracy, Long Time Wearability"
124,Earbud-Embedded Micro-Power mm-Sized Optical Sensor for Accurate Heart Beat Monitoring,A. Boukhayma et al.,A. Boukhayma; A. Barison; S. Haddad; A. Caizzone,2021,https://ieeexplore.ieee.org/document/9492124,"This work demonstrates that accurate hear beat monitoring, via photoplethysmography (PPG), can be performed at micro-power consumption level with an ear worn device. This is achieved thanks to the combination of a highly sensitive low power PPG chip, an optimal optical module, and an ergonomic design of the wearable device. The monolithic optical sensor is fabricated in a 180nm CMOS image sensor (CIS) process and features an area of 1.5mm by 1.5mm only. It implements an array of pixels, newly designed for PPG, and reaching a quantum efficiency of 85% up to 800nm. The presented sensor consumes 60 μA at 122Hz sampling frequency, including digital communication. The optical design optimization enables high signal-to-noise ratio (SNR) PPG signals with less than 10 μA average LED current. Heart beat monitoring, using the presented wearable device, is performed on 7 subjects and compared with a medical electrocardiogram (ECG). The earbud device correctly detects 98.47% of the beats on a total of 72.21 hours of recordings. The inter-beat interval (IBI) estimation from these recordings features a mean absolute error (MAE) as low as 7.52ms.","Cardio-Respiratory System, Cardiovascular System",Inter-Beat Interval,Ear Canal,Photo,Photoplethysmography (PPG),"High Accuracy, Long Time Wearability, Energy-efficient"
125,28.2 A 400-to-1000nm 24μ W Monolithic PPG Sensor with 0.3A/W Spectral Responsivity for Miniature Wearables,S. -j. Jung et al.,S. -j. Jung; J. Ryu; W. Kim; S. Lee; J. Kim; H. Park; T. Jang; H. Jeong; J. Kim; J. Park; R. Kim; J. Park; H. Jo; W. J. Kim; J. Yang; B. Sohn; Y. Han; I. Lim; S. Yoo; C. Park; D. -g. Jang; B. -H. Ko; J. Lim; J. Kim; K. Lee; J. Lee; Y. Park; L. Yan,2021,https://ieeexplore.ieee.org/document/9366035,"Incorporating different wavelength (400 to 1000nm) LEDs, photoplethysmography (PPG) sensors allow wearable devices to monitor various health parameters such as heart rate (HR), oxygen saturation (SpO2), and blood pressure (BP). Nowadays, PPG sensing technology at the wrist is well established. To cope with the large degree of motion turbulence presented at the wrist, PPG sensors use Green (Gr) LEDs together with multiple photodiodes (PD), and they are driven by wide-dynamic-range (DR) current-sensing front-ends [1]. It is attractive to use a near-infra-red (nIR) PPG sensor in a True Wireless Stereo (TWS), as the ear provides the best site to measure heart rhythm (more blood flow, constant distance from the heart, and less motion than at the finger or wrist). However, TWS requires a PPG sensor that is more stringent on size and power consumption (shown in Fig. 28.2.1). A promising solution [2, 3] is integrating an array of PDs with an ADC to dramatically reduce power while also providing monolithic integration. However, the limited DR (<80 dB) and the poor spectral responsivity remain challenging. This work advances [1] by demonstrating a CMOS monolithic PPG sensor, and improves spectral responsivity more than 4×(0.3A/W across 400 to 1000nm) compared to [2]. The sensor is fabricated by back-side illumination (BSI) CMOS technology providing 90dB DR (18dB improvement from [3]) while consuming only 24μW power and 5.5mm 2 silicon area.",Cardio-Respiratory System,"Heart Rate, Blood Pressure, Blood Oxygen Saturation",Ear Canal,Photo,Photoplethysmography (PPG),"Energy-efficient, High Accuracy"
126,Design and Validation of a Pilot Stress Monitoring System based on a Deep Convolutional Neural Network Model,J. Meneses et al.,J. Meneses; O. Miranda; I. Sanchez; C. Álvarez; P. Rodriguez,2021,https://ieeexplore.ieee.org/document/9594363,"This article presents the Design and Validation of a Stress Model based on a Deep Convolutional Neural Network (DCNN) included in the Pilot Monitoring System (PMS) developed by Airbus Defence Space.Starting by introducing the whole system, PMS obtains pilot’s vital data in real time with two wearable devices (smartwatch and ear sensor). It is able to determine stress, fatigue, workload, health status and pilot capacity with new models based on DCNN encoded in Python which are able to interpret these vital data.Additionally, PMS is able to launch alerts when the vital parameters of the crew reach pre-established limits, giving the chance to detect an abnormal situation (e.g. excessive workload scenario with high stress level). In this way, it will improve situational awareness by making crew aware of their own conditionGoing deeper into the details of the Stress Model, its main objective is to determine Pilot stress in real time.For achieving this target, several design stages were taken into consideration while building the Stress Model DCNN: raw data acquisition, data cleaning, feature engineering, algorithm selection, model training, model evaluation, model testing, and result analysis. Further details of these stages are explained below.Regarding data acquisition, Stress Model obtains pilot’s vital data from a smartwatch (one of the wearable devices of PMS), which communicates via Bluetooth Low Energy (BLE) to a laptop. Selected device was Analog Devices Inc. Gen II watch, which sends the following signals: Heart Rate (HR), Electro-Dermal Activity (EDA), Skin temperature and 3D Acceleration.At Cleaning stage, Inter-Quartile Range (IQR) was used to normalize our raw data, being less sensitive to outliers and therefore more robust.At Feature engineering stage, several signal combinations were explored. The selected signal set which gave the best Stress Model accuracy was comprised of two EDA parameters (Real Admittance [Siemens], Impedance Magnitude [Ohm]) and wrist Skin Temperature [deg C].At Algorithm selection stage, three convolutional layers (128, 256 and 128 filters respectively) were chosen to extract a feature map from the inputs. After them, a Global Average Pooling (GAP) was chosen to compress the convolutions output. Downstream GAP, a decision layer based on softmax activation function (stress vs non-stress) was chosen.At Training stage, it was necessary to implement a Stress Test recording campaign. Participants were asked to fulfill several individual demanding tasks (memory, multi-task, stroop, vigilance) which included relaxing periods among them. The Stress Model was fed with the vital data obtained in this campaign.In between the tasks, NASA-TLX questionnaires were filled by test subjects, to obtain their subjective rating of Mental demand, Physical demand, Temporal demand, Performance, Effort and Frustration. Therefore, the Stress Model considered both vital data and self-report questionnaires as inputs.At result analysis stage, the Stress Model accuracy was refined, understanding accuracy as the ratio between correct predicted stress scenarios versus total cases, and considering ground truth self-report questionnaires.Finally, Stress Model DCNN was validated considering three data sources, whose details are included below:A.Vital data from fifteen (N=15) subjects of Wearable Stress and Affect Detection (WESAD) Database available online.Stress Model gave an average test accuracy of 99%,B.Vital data from four (N=4) Airbus Defence and Space (ADS) pilots while calibrating their NASA-TLX scale.Stress Model in this validation gave an average test accuracy of 90%.C.Vital data from six (N=6) ADS pilots while performing simulator evaluations using an Enhanced Light Weight Visor (ELWEV).Stress Model in this validation gave an average test accuracy of 87%.",Mental State,Stress,Around the ear,,"Electro-Dermal Activity (EDA), Skin Temperature","High Accuracy, Non-invasive"
127,Development of a wearable system with In-Ear EEG electrodes for the monitoring of brain activities: An application to epilepsy,J. Juez et al.,J. Juez; D. Henao; F. Segura; R. Gómez; M. Le Van Quyen; M. Valderrama,2021,https://ieeexplore.ieee.org/document/9626123,"Epilepsy is a chronic noncommunicable disease of the brain characterized by recurrent seizures, which are brief episodes of excessive and synchronized electrical discharges of neuronal activities. The main technique used for the diagnosis of seizures is the electroencephalography (EEG), a noninvasive method which records the electrical activity of the brain. The conventional EEG monitoring to diagnose epilepsy has some problems: First, the short monitoring time generates misdiagnosis. Second, the long wires needed for the connection of electrodes are uncomfortable for the patients. Third, the patients are not monitored in a natural environment where different conditions can trigger seizures and last, a conventional EEG monitoring is too expensive. A solution is the development of a wearable monitoring EEG where the recording system is a device of small dimensions with continuous and long-term recording capabilities. In this work, we developed an In-Ear wearable system to allow a long-term recording of EEG signals in a nonclinical environment. For this, we designed In-ear electrodes with soft foam earplugs and a knit conductive fabric of silver. We performed different tests to validate the signal quality of the acquisition system including one ambulatory recording in an epileptic patient.",Health Tracking,Epileptic Seizure,Ear Canal,Electrical,Electroencephalography (EEG),"High Accuracy, Long time wearability, Energy-efficient"
128,Low-Cost Real-time Driver Drowsiness Detection based on Convergence of IR Images and EEG Signals,K. -J. Kim et al.,K. -J. Kim; K. -T. Lim; J. w. Baek; M. Shin,2021,https://ieeexplore.ieee.org/document/9415193/,"This paper focused on low-cost real-time driver's drowsiness detection by fusing facial image information obtained through the IR camera (Infrared Camera) and EEG (Electroencephalogram) signal acquired through the EEG sensor. The proposed method was tested on the target board (i.MX6Quad). The i.MX6Quad is the SoCs (System-on-Chip) that integrate many processing units into one die, like the main CPU, a video processing unit and a graphics processing unit for instance. Instead of the RGB camera, the IR camera is applied to driver condition monitoring and drowsiness detection technology by extracting the driver's facial feature information robustly against daytime, night-time, and frequent change of brightness around the face. The headphone type EEG sensor is also used to minimize the user's discomfort. On the target board, the processing time per image frame is about 60ms, so that it can process about 17 frames per second. This processing time can be suitable for the driver's drowsiness detection systems.","Cardio-Respiratory System, Nervous System",Drowsiness,"Earlobe, Around the ear","Electrical, Photo",Electroencephalography (EEG),"Low Cost, Long Time Wearability"
