ID,Title,Authors,Year,Study Link,Health Indicator,Sensor Position,Sensor Type,Physiological Signal,Advantage,Single-ear R-peak detection F1 score,Single-ear heart rate error,Cross-ear R-peak detection F1 score,Cross-ear heart rate error,Accuracy,Median Error,MAPE,MAE(Sitting),MAE(walking),MAD(motion),SBP MAE,DBP MAE,SBP AE,DBP AE,SBP SD,DBP SD,SBP MAD,DBP MAD,Synchronization Accuracy,ME,RMSE,RR MAPE,RR MAE,RR ME,IER Error,TV MAPE,Breathing Phase F1,Inspiratory time MAE
119,eBP: an ear-worn device for frequent and comfortable blood pressure monitoring,"Bui, Nam and Pham, Nhat and Barnitz, Jessica Jacqueline and Zou, Zhanan and Nguyen, Phuc and Truong, Hoang and Kim, Taeho and Farrow, Nicholas and Nguyen, Anh and Xiao, Jianliang and Deterding, Robin and Dinh, Thang and Vu, Tam",2021,https://doi.org/10.1145/3470446,Blood Pressure,Ear Canal,Photo,Photoplethysmography (PPG),"Non-invasive, Long Time Wearability",,,,,,,,,,,,,1.61mmHg,-3.1mmHg,7.2mmHg,7.9mmHg,,,,,,,,,,,,
124,Earbud-Embedded Micro-Power mm-Sized Optical Sensor for Accurate Heart Beat Monitoring,A. Boukhayma; A. Barison; S. Haddad; A. Caizzone,2021,https://ieeexplore.ieee.org/document/9492124,Heart Rate,Ear Canal,Photo,Photoplethysmography (PPG),"Long Time Wearability, High Accuracy, Energy-efficient",,,,,98.47%,,,,,,,,,,,,,,,,,,,,,,,
125,28.2 A 400-to-1000nm 24μ W Monolithic PPG Sensor with 0.3A/W Spectral Responsivity for Miniature Wearables,S. -j. Jung; J. Ryu; W. Kim; S. Lee; J. Kim; H. Park; T. Jang; H. Jeong; J. Kim; J. Park; R. Kim; J. Park; H. Jo; W. J. Kim; J. Yang; B. Sohn; Y. Han; I. Lim; S. Yoo; C. Park; D. -g. Jang; B. -H. Ko; J. Lim; J. Kim; K. Lee; J. Lee; Y. Park; L. Yan,2021,https://ieeexplore.ieee.org/document/9366035,"Heart Rate, Blood Pressure, Blood Oxygen Saturation",Ear Canal,Photo,Photoplethysmography (PPG),"Energy-efficient, High Accuracy",,,,,,,,,,1.9 bpm,,,,,,,3.50mmHg,4.09mmHg,,,,,,,,,,
129Breathing Sound-based Exercise Intensity Monitoring via Smartphones,Y. Ren; Z. Zheng; H. Liu; Y. Chen; H. Li; C. Wang,2021,https://ieeexplore.ieee.org/document/9522176,Breathing Sound,Ear Canal,Acoustic,Breathing Sound,Long Time Wearability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Non-Invasive Blood Pressure Monitoring with Multi-Modal In-Ear Sensing,"Truong, Hoang and Montanari, Alessandro and Kawsar, Fahim",2022,https://ieeexplore.ieee.org/document/9747661,Blood Pressure,Ear Canal,"Photo, Acoustic","Photoplethysmography (PPG), Heart sound","Non-invasive, Continuous",,,,,,,,,,,4.07mmHg,5.61mmHg,,,,,,,,,,,,,,,,
134,Smart Biofeedback Earbud Achieved by SiP with 3D Composite Polymer Package,"Tseng, Kueihao and Lin, ChihLung and Wang, Kaihung and Chang, Harrison",2022,https://ieeexplore.ieee.org/document/9816547,Heart Rate,Ear Canal,"Electrical, Thermal","Beats Per Minute (BPM),Electrocardiogram (ECG), Body Temperature",Long Time Wearability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,VitalPod: A Low Power In-Ear Vital Parameter Monitoring System,"Schilk, Philipp and Dheman, Kanika and Magno, Michele",2022,https://ieeexplore.ieee.org/document/9941646,"Heart Rate, Blood Oxygen Saturation, Respiration Rate",Ear Canal,"Photo, Mechanical, Thermal, Acoustic","Photoplethysmography (PPG),Beats Per Minute (BPM), Body Temperature, Breath per minute (BRPM)",Energy-efficient,,,,,,−0.061 ± 1.12 bpm,,,,,,,,,,,,,,,,,,,,,,
136,Detecting Physiological Responses Using Multimodal Earbud Sensors,"Rahman, Md Mahbubur and Xu, Xuhai and Nathan, Viswam and Ahmed, Tousif and Ahmed, Mohsin Yusuf and McCaffrey, Dan and Kuang, Jilong and Cowell, Trevor and Moore, Julia and Mendes, Wendy Berry and Gao, Jun Alex",2022,https://ieeexplore.ieee.org/document/9871569,Heart Rate,Ear Canal,"Photo, Mechanical, Thermal","Photoplethysmography (PPG), Body Temperature, IMU Signals",Long Time Wearability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,BreatheBuddy: Tracking Real-time Breathing Exercises for Automated Biofeedback Using Commodity Earbuds,"Rahman, Md Mahbubur and Ahmed, Tousif and Ahmed, Mohsin Yusuf and Dinh, Minh and Nemati, Ebrahim and Kuang, Jilong and Gao, Jun Alex",2022,https://doi.org/10.1145/3546748,"Respiration Rate, Breathing phase, Respiration Marker",Ear Canal,Mechanical,"Inhale / Exhale phase, Breathing rate, Depth of breathing, Inhalation/Exhalation ratio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Stereo-BP: Non-Invasive Blood Pressure Sensing with Earables,"Balaji, Ananta Narayanan and Ferlini, Andrea and Kawsar, Fahim and Montanari, Alessandro",2023,https://doi.org/10.1145/3572864.3580341,Blood Pressure,On the ear helix,Photo,Pulse Time Difference (PTD),"High Accuracy, Non-invasive",,,,,,,,,,,3.97mmHg,3.83mmHg,,,,,,,,,,,,,,,,
